branch,tensor,numel,mean_angular_step,final_cumulative_angular_step
constant,blocks.0.attn.proj.bias,192,0.003207786921411701,2.806813556235284
constant,blocks.0.attn.proj.weight,36864,0.004336701377361426,3.794613705191296
constant,blocks.0.attn.qkv.bias,576,0.001603698877018962,1.4032365173916332
constant,blocks.0.attn.qkv.weight,110592,0.004665120952962174,4.081980833841953
constant,blocks.0.mlp.fc1.bias,768,0.004314713598495032,3.775374398683198
constant,blocks.0.mlp.fc1.weight,147456,0.003811008408599089,3.3346323575242423
constant,blocks.0.mlp.fc2.bias,192,0.004547792103806725,3.9793180908309296
constant,blocks.0.mlp.fc2.weight,147456,0.003818064064319594,3.340806056279689
constant,blocks.1.attn.proj.bias,192,0.00514353623939673,4.500594209472183
constant,blocks.1.attn.proj.weight,36864,0.003716093774219654,3.251582052442245
constant,blocks.1.attn.qkv.bias,576,0.005763720160948861,5.043255140830297
constant,blocks.1.attn.qkv.weight,110592,0.004181955359709792,3.659210939746117
constant,blocks.1.mlp.fc1.bias,768,0.004584638276736065,4.011558492144104
constant,blocks.1.mlp.fc1.weight,147456,0.003977812998728504,3.4805863738874905
constant,blocks.1.mlp.fc2.bias,192,0.005181678586439844,4.533968763134908
constant,blocks.1.mlp.fc2.weight,147456,0.004138770201476237,3.6214239262917545
constant,blocks.10.attn.proj.bias,192,0.004399437043849057,3.8495074133679736
constant,blocks.10.attn.proj.weight,36864,0.004023063358318533,3.5201804385287687
constant,blocks.10.attn.qkv.bias,576,0.0059636360624405445,5.218181554635521
constant,blocks.10.attn.qkv.weight,110592,0.004139673372730555,3.622214201139286
constant,blocks.10.mlp.fc1.bias,768,0.0028894236830195696,2.5282457226421684
constant,blocks.10.mlp.fc1.weight,147456,0.0036968614810944257,3.2347537959576584
constant,blocks.10.mlp.fc2.bias,192,0.00423231367221363,3.703274463186972
constant,blocks.10.mlp.fc2.weight,147456,0.004279718074814495,3.744753315462731
constant,blocks.11.attn.proj.bias,192,0.004304203203280542,3.766177802870516
constant,blocks.11.attn.proj.weight,36864,0.004133542130368572,3.61684936407255
constant,blocks.11.attn.qkv.bias,576,0.0051897009308449395,4.540988314489368
constant,blocks.11.attn.qkv.weight,110592,0.004001598679460531,3.501398844528012
constant,blocks.11.mlp.fc1.bias,768,0.002644499814570159,2.313937337748939
constant,blocks.11.mlp.fc1.weight,147456,0.003715340105217961,3.2509225920657627
constant,blocks.11.mlp.fc2.bias,192,0.0041124733182867175,3.5984141535009257
constant,blocks.11.mlp.fc2.weight,147456,0.0042252933425562115,3.697131674736738
constant,blocks.2.attn.proj.bias,192,0.004295938435176865,3.7589461307798047
constant,blocks.2.attn.proj.weight,36864,0.0035986996638654573,3.148862205882324
constant,blocks.2.attn.qkv.bias,576,0.00588240243787207,5.147102133138105
constant,blocks.2.attn.qkv.weight,110592,0.004075197238275461,3.565797583491076
constant,blocks.2.mlp.fc1.bias,768,0.004183761007285486,3.660790881374851
constant,blocks.2.mlp.fc1.weight,147456,0.004105477490994496,3.5922928046202287
constant,blocks.2.mlp.fc2.bias,192,0.004511605407576953,3.947654731629882
constant,blocks.2.mlp.fc2.weight,147456,0.0044836910853960155,3.92322969972156
constant,blocks.3.attn.proj.bias,192,0.007076677515104896,6.192092825716827
constant,blocks.3.attn.proj.weight,36864,0.003689935695546228,3.228693733602995
constant,blocks.3.attn.qkv.bias,576,0.00344679997382414,3.01594997709617
constant,blocks.3.attn.qkv.weight,110592,0.00411002416519576,3.596271144546336
constant,blocks.3.mlp.fc1.bias,768,0.0040609859945252005,3.553362745209597
constant,blocks.3.mlp.fc1.weight,147456,0.003986556348923012,3.488236805307679
constant,blocks.3.mlp.fc2.bias,192,0.006566085633755215,5.745324929535855
constant,blocks.3.mlp.fc2.weight,147456,0.004463270494747587,3.9053616829041857
constant,blocks.4.attn.proj.bias,192,0.006677902016655626,5.843164264573716
constant,blocks.4.attn.proj.weight,36864,0.003830832301106798,3.3519782634684816
constant,blocks.4.attn.qkv.bias,576,0.004302556759012544,3.7647371641360223
constant,blocks.4.attn.qkv.weight,110592,0.004111409201452983,3.5974830512714107
constant,blocks.4.mlp.fc1.bias,768,0.003631525052046085,3.17758442054037
constant,blocks.4.mlp.fc1.weight,147456,0.003974169740320268,3.477398522780277
constant,blocks.4.mlp.fc2.bias,192,0.00639126293753668,5.592355070344638
constant,blocks.4.mlp.fc2.weight,147456,0.004581982088907171,4.00923432779382
