tensor,parent_tensor,unit_label,shape,ndim,numel,family,controlled,optimizer_group,reference_fro_norm,reference_rms_norm,prefix_checkpoint,prefix_sha256,prefix_global_state_step,prefix_git_commit,prefix_source_policy,target_policy
cls_token,cls_token,,"[1,1,192]",3,192,input_embedding,True,controlled,0.5293653011322021,0.03820364988854053,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
pos_embed,pos_embed,,"[1,65,192]",3,12480,input_embedding,True,controlled,9.291144371032715,0.08316908351180348,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
patch_embed.proj.weight,patch_embed.proj.weight,,"[192,3,8,8]",4,36864,input_embedding,True,controlled,6.110483169555664,0.03182543317476908,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
patch_embed.proj.bias,patch_embed.proj.bias,,[192],1,192,input_embedding,True,controlled,1.144059181213379,0.0825653595303009,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.attn.qkv.weight::q,blocks.0.attn.qkv.weight,q,"[192,192]",2,36864,attention_qkv,True,controlled,4.605339527130127,0.02398614337046941,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.attn.qkv.weight::k,blocks.0.attn.qkv.weight,k,"[192,192]",2,36864,attention_qkv,True,controlled,4.762874603271484,0.024806638558705647,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.attn.qkv.weight::v,blocks.0.attn.qkv.weight,v,"[192,192]",2,36864,attention_qkv,True,controlled,5.462186336517334,0.028448887169361115,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.attn.qkv.bias::q,blocks.0.attn.qkv.bias,q,[192],1,192,attention_qkv,True,controlled,1.3334072828292847,0.09623038171011188,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.attn.qkv.bias::k,blocks.0.attn.qkv.bias,k,[192],1,192,attention_qkv,True,controlled,0.012112507596611977,0.000874144940183164,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.attn.qkv.bias::v,blocks.0.attn.qkv.bias,v,[192],1,192,attention_qkv,True,controlled,0.36769238114356995,0.026535911904026824,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.attn.proj.weight,blocks.0.attn.proj.weight,,"[192,192]",2,36864,attention_output,True,controlled,5.439895153045654,0.028332787255446117,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.attn.proj.bias,blocks.0.attn.proj.bias,,[192],1,192,attention_output,True,controlled,0.4783214032649994,0.034519873866775866,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.mlp.fc1.weight,blocks.0.mlp.fc1.weight,,"[768,192]",2,147456,mlp_input,True,controlled,12.194818496704102,0.03175733983516693,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.mlp.fc1.bias,blocks.0.mlp.fc1.bias,,[768],1,768,mlp_input,True,controlled,0.7158346772193909,0.025830458974242763,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.mlp.fc2.weight,blocks.0.mlp.fc2.weight,,"[192,768]",2,147456,mlp_output,True,controlled,11.845319747924805,0.03084718684355418,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.mlp.fc2.bias,blocks.0.mlp.fc2.bias,,[192],1,192,mlp_output,True,controlled,0.3227370083332062,0.023291537329828887,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.attn.qkv.weight::q,blocks.1.attn.qkv.weight,q,"[192,192]",2,36864,attention_qkv,True,controlled,5.103052616119385,0.026578399042288463,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.attn.qkv.weight::k,blocks.1.attn.qkv.weight,k,"[192,192]",2,36864,attention_qkv,True,controlled,5.194287300109863,0.027053579688072205,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.attn.qkv.weight::v,blocks.1.attn.qkv.weight,v,"[192,192]",2,36864,attention_qkv,True,controlled,6.256936073303223,0.03258820871512095,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.attn.qkv.bias::q,blocks.1.attn.qkv.bias,q,[192],1,192,attention_qkv,True,controlled,0.35789382457733154,0.025828761995128385,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
