tensor,shape,ndim,numel,family,controlled,optimizer_group,reference_fro_norm,reference_rms_norm,prefix_checkpoint,prefix_sha256,prefix_global_state_step,prefix_git_commit,prefix_source_policy,target_policy
cls_token,"[1,1,192]",3,192,input_embedding,True,controlled,0.5293653011322021,0.03820364988854053,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
pos_embed,"[1,65,192]",3,12480,input_embedding,True,controlled,9.291144371032715,0.08316908351180348,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
patch_embed.proj.weight,"[192,3,8,8]",4,36864,input_embedding,True,controlled,6.110483169555664,0.03182543317476908,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
patch_embed.proj.bias,[192],1,192,input_embedding,True,controlled,1.144059181213379,0.0825653595303009,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.norm1.weight,[192],1,192,block_layernorm,False,uncontrolled,13.2642240524292,0.9572629159076884,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.attn.qkv.weight,"[576,192]",2,110592,attention_qkv,True,controlled,8.586590766906738,0.025820158805701876,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.attn.qkv.bias,[576],1,576,attention_qkv,True,controlled,1.383227825164795,0.05763449271519979,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.attn.proj.weight,"[192,192]",2,36864,attention_output,True,controlled,5.439895153045654,0.028332787255446117,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.attn.proj.bias,[192],1,192,attention_output,True,controlled,0.4783214032649994,0.034519873866775866,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.norm2.weight,[192],1,192,block_layernorm,False,uncontrolled,13.889887809753418,1.0024163082468547,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.mlp.fc1.weight,"[768,192]",2,147456,mlp_input,True,controlled,12.194818496704102,0.03175733983516693,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.mlp.fc1.bias,[768],1,768,mlp_input,True,controlled,0.7158346772193909,0.025830458974242763,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.mlp.fc2.weight,"[192,768]",2,147456,mlp_output,True,controlled,11.845319747924805,0.03084718684355418,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.0.mlp.fc2.bias,[192],1,192,mlp_output,True,controlled,0.3227370083332062,0.023291537329828887,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
blocks.1.norm1.weight,[192],1,192,block_layernorm,False,uncontrolled,13.551420211791992,0.9779895133974803,outputs/expanded_block_affine_rmsnorm_finalnorm_v6_tensor_monitoring/prefix/checkpoint_step_002500.pt,48789c6d64c46e1bdbbd8922db01ec4472d4ca72ce2911c6f27a5a6bfed66773,2500,,hidden_matrices,expanded_block_affine_v2
